,Entity,Code,Year,"GDP, PPP (constant 2017 international $)",Annual CO₂ emissions,Annual consumption-based CO₂ emissions
9537,European Union (27),,2010,17216472626436.0,3424056300.0,4295065600.0
9538,European Union (27),,2011,17540647955306.0,3326834000.0,4159857200.0
9539,European Union (27),,2012,17417425298551.0,3257576200.0,3891528200.0
9540,European Union (27),,2013,17399478775053.0,3175109600.0,3768344600.0
9541,European Union (27),,2014,17692306161355.0,3038410200.0,3646110200.0
9542,European Union (27),,2015,18115469336077.0,3094753500.0,3598534700.0
9543,European Union (27),,2016,18482537488345.0,3093282300.0,3609413000.0
9544,European Union (27),,2017,19037983233287.0,3117226000.0,3651528200.0
9545,European Union (27),,2018,19469733184639.0,3049868000.0,3687516200.0
9546,European Union (27),,2019,19850099594716.0,2904707800.0,3529984500.0
9547,European Union (27),,2020,18724410113630.0,2627391700.0,3201340700.0
27872,United States,USA,2010,16861566593687.0,5679715300.0,5961901000.0
27873,United States,USA,2011,17122903162843.0,5546116000.0,5815465500.0
27874,United States,USA,2012,17513423092584.0,5344086000.0,5649190400.0
27875,United States,USA,2013,17835998523381.0,5480156700.0,5737805000.0
27876,United States,USA,2014,18244046204930.0,5528681000.0,5834858500.0
27877,United States,USA,2015,18737797521903.0,5376473000.0,5787921400.0
27878,United States,USA,2016,19050245063231.0,5252932000.0,5660035000.0
27879,United States,USA,2017,19477336548999.0,5212162000.0,5632437000.0
27880,United States,USA,2018,20051019065249.0,5377797000.0,5804062000.0
27881,United States,USA,2019,20511077482157.0,5262145000.0,5698775000.0
27882,United States,USA,2020,19943371364490.0,4714628000.0,5186862600.0
